Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap8.331	sp|A3KMH1|VWA8_HUMAN	6.53e-133	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2	tr|A0A2B4T033|A0A2B4T033_STYPI	0	von Willebrand factor A domain-containing protein 8 OS=Stylophora pistillata GN=AWC38_SpisGene1071 PE=4 SV=1	ref|XP_020602600.1|	0	von Willebrand factor A domain-containing protein 8-like [Orbicella faveolata]	GO:0005739; GO:0005524; GO:0016887	GO:0005524; GO:0016887
evm.model.Ap8.1120	sp|O05485|EPRA1_AERHY	7.37e-23	Extracellular protease OS=Aeromonas hydrophila GN=eprA1 PE=3 SV=1	tr|A0A2B4SIM1|A0A2B4SIM1_STYPI	1.68e-80	Extracellular protease OS=Stylophora pistillata GN=eprA1 PE=4 SV=1	ref|XP_020604817.1|	6.26e-114	peptidyl-Lys metalloendopeptidase-like [Orbicella faveolata]	GO:0046872; GO:0004222	GO:0004222
evm.model.Ap8.1376	sp|Q8BLD9|DRD5_MOUSE	9.14e-14	D(1B) dopamine receptor OS=Mus musculus GN=Drd5 PE=2 SV=1	tr|A0A2B4T0U1|A0A2B4T0U1_STYPI	5.81e-29	Beta-2 adrenergic receptor OS=Stylophora pistillata GN=Adrb2 PE=4 SV=1	ref|XP_020614816.1|	7.58e-89	trace amine-associated receptor 8a-like [Orbicella faveolata]	GO:0031526; GO:0060170; GO:0005887; GO:0005622; GO:0097730; GO:0005886; GO:0035240; GO:0004952; GO:0001588; GO:0007191; GO:0007189; GO:0008306; GO:0071870; GO:0060292; GO:0007617; GO:0045776; GO:0033861; GO:0001994; GO:0060158; GO:0072593; GO:0045924; GO:0001992; GO:0001975; GO:0042220; GO:0046960; GO:0019226; GO:0042060	GO:0016021; GO:0004930
evm.model.Ap8.1377	sp|G3M4F8|OCTB2_CHISP	1.59e-16	Octopamine receptor beta-2R OS=Chilo suppressalis GN=OA2B2 PE=2 SV=1	tr|A0A2B4T0U1|A0A2B4T0U1_STYPI	1.05e-52	Beta-2 adrenergic receptor OS=Stylophora pistillata GN=Adrb2 PE=4 SV=1	ref|XP_020614816.1|	4.07e-145	trace amine-associated receptor 8a-like [Orbicella faveolata]	GO:0016021; GO:0005622; GO:0005886; GO:0004989; GO:0008226; GO:0007189; GO:0071418; GO:0071927; GO:0071928	GO:0016021; GO:0004930
evm.model.Ap8.1374	sp|P18460|FGFR3_CHICK	9.63e-54	Fibroblast growth factor receptor 3 OS=Gallus gallus GN=FGFR3 PE=2 SV=1	tr|A0A2B4RDD1|A0A2B4RDD1_STYPI	3.09e-84	Tyrosine kinase receptor Cad96Ca OS=Stylophora pistillata GN=Cad96Ca PE=4 SV=1	ref|XP_020614811.1|	0	neural cell adhesion molecule 2-like [Orbicella faveolata]	GO:0016021; GO:0005886; GO:0005524; GO:0005007; GO:0006915; GO:0008284	GO:0016021; GO:0005524; GO:0004713
evm.model.Ap8.1375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap8.1372	sp|Q9VBW3|CAD96_DROME	1.8e-75	Tyrosine kinase receptor Cad96Ca OS=Drosophila melanogaster GN=Cad96Ca PE=2 SV=2	tr|A0A2B4RHR2|A0A2B4RHR2_STYPI	0	Fibroblast growth factor receptor 3 OS=Stylophora pistillata GN=FGFR3 PE=4 SV=1	gb|PFX15805.1|	0	Fibroblast growth factor receptor 3 [Stylophora pistillata]	GO:0045177; GO:0005887; GO:0005524; GO:0005509; GO:0004672; GO:0004713; GO:0004714; GO:0016339; GO:0007030; GO:0007156; GO:0045792; GO:0090303; GO:0006468; GO:0042060	GO:0016021; GO:0005524; GO:0004713
evm.model.Ap8.1373	NA	NA	NA	tr|A0A2B4STN8|A0A2B4STN8_STYPI	8.83e-41	Uncharacterized protein K02A2.6 OS=Stylophora pistillata GN=K02A2.6 PE=4 SV=1	ref|XP_020617064.1|	8.46e-54	uncharacterized protein LOC110055025 [Orbicella faveolata]	NA	GO:0016021; GO:0003677; GO:0015074; GO:0006310
evm.model.Ap8.1370	sp|Q9CU65|ZMYM2_MOUSE	3.93e-13	Zinc finger MYM-type protein 2 OS=Mus musculus GN=Zmym2 PE=1 SV=3	tr|B1H2N9|B1H2N9_XENTR	2.87e-79	LOC100145450 protein OS=Xenopus tropicalis GN=LOC100145450 PE=2 SV=1	ref|XP_020915645.1|	1.72e-173	zinc finger MYM-type protein 2-like [Exaiptasia pallida]	GO:0005737; GO:0005654; GO:0016605; GO:0003677; GO:0000981; GO:0031624; GO:0008270; GO:0007010; GO:0007275; GO:0022604; GO:0006351	GO:0005622; GO:0003677; GO:0015074; GO:0006310; GO:0006355
evm.model.Ap8.1371	sp|Q96RW7|HMCN1_HUMAN	3.58e-36	Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2	tr|A0A2B4RC11|A0A2B4RC11_STYPI	0	Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1	ref|XP_022808573.1|	0	LOW QUALITY PROTEIN: hemicentin-1-like [Stylophora pistillata]	GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0070062; GO:0005509; GO:0007049; GO:0051301; GO:0050896; GO:0007601	
evm.model.Ap8.1378	sp|G3M4F8|OCTB2_CHISP	9e-15	Octopamine receptor beta-2R OS=Chilo suppressalis GN=OA2B2 PE=2 SV=1	tr|A0A2B4T0U1|A0A2B4T0U1_STYPI	1.37e-50	Beta-2 adrenergic receptor OS=Stylophora pistillata GN=Adrb2 PE=4 SV=1	ref|XP_020614816.1|	5.75e-145	trace amine-associated receptor 8a-like [Orbicella faveolata]	GO:0016021; GO:0005622; GO:0005886; GO:0004989; GO:0008226; GO:0007189; GO:0071418; GO:0071927; GO:0071928	GO:0016021; GO:0004930
evm.model.Ap8.1379	sp|Q9TST5|ADRB2_FELCA	4.69e-16	Beta-2 adrenergic receptor OS=Felis catus GN=ADRB2 PE=3 SV=1	tr|A0A2B4RPQ7|A0A2B4RPQ7_STYPI	1.66e-124	Galanin receptor type 2 OS=Stylophora pistillata GN=GALR2 PE=4 SV=1	ref|XP_020616782.1|	1.35e-146	galanin receptor type 1-like [Orbicella faveolata]	GO:0016324; GO:0005769; GO:0005887; GO:0005634; GO:0043235; GO:0008179; GO:0001540; GO:0004941; GO:0051379; GO:0051380; GO:0015459; GO:0032403; GO:0042803; GO:0007190; GO:0071880; GO:0045453; GO:0050873; GO:0007267; GO:1904646; GO:0002032; GO:0002024; GO:0031649; GO:0040015; GO:0045986; GO:0002025; GO:2000969; GO:1901098; GO:0030501; GO:1904504; GO:0043410; GO:0061885; GO:0010739; GO:0071902; GO:0031398; GO:0045944; GO:0006898; GO:0002028; GO:0009409	GO:0016021; GO:0004930
evm.model.Ap8.2548	NA	NA	NA	tr|A0A2B4SBM2|A0A2B4SBM2_STYPI	2.36e-80	Transposon TX1 uncharacterized 149 kDa protein OS=Stylophora pistillata GN=AWC38_SpisGene7190 PE=4 SV=1	ref|XP_020632469.1|	7.5e-111	uncharacterized protein LOC110069305 [Orbicella faveolata]	NA	
evm.model.Ap8.2549	sp|Q8WVM7|STAG1_HUMAN	0	Cohesin subunit SA-1 OS=Homo sapiens GN=STAG1 PE=1 SV=3	tr|A0A2B4RH27|A0A2B4RH27_STYPI	0	Cohesin subunit SA-1 OS=Stylophora pistillata GN=STAG1 PE=4 SV=1	ref|XP_020632640.1|	0	cohesin subunit SA-2-like [Orbicella faveolata]	GO:0000785; GO:0005694; GO:0000775; GO:0008278; GO:0005829; GO:0097431; GO:0016604; GO:0016363; GO:0005654; GO:0005634; GO:0003682; GO:0001228; GO:0051301; GO:1901673; GO:0007062	
evm.model.Ap8.1088	sp|Q5F364|MRP1_CHICK	0	Multidrug resistance-associated protein 1 OS=Gallus gallus GN=ABCC1 PE=2 SV=1	tr|A0A2B4SWR0|A0A2B4SWR0_STYPI	0	Multidrug resistance-associated protein 1 OS=Stylophora pistillata GN=ABCC1 PE=4 SV=1	ref|XP_012826972.1|	0	PREDICTED: canalicular multispecific organic anion transporter 2 isoform X2 [Xenopus tropicalis]	GO:0016323; GO:0005887; GO:0005524; GO:0042626; GO:0055085	GO:0016021; GO:0005524; GO:0042626
evm.model.Ap8.1089	NA	NA	NA	tr|A7SPP9|A7SPP9_NEMVE	3.03e-24	Predicted protein OS=Nematostella vectensis GN=v1g246627 PE=4 SV=1	ref|XP_022785101.1|	8.78e-41	uncharacterized protein LOC111325539 [Stylophora pistillata]	NA	
evm.model.Ap8.1084	sp|P78348|ASIC1_HUMAN	3.35e-53	Acid-sensing ion channel 1 OS=Homo sapiens GN=ASIC1 PE=1 SV=3	tr|A0A2B4SIQ9|A0A2B4SIQ9_STYPI	6.01e-127	Acid-sensing ion channel 4 OS=Stylophora pistillata GN=asic4 PE=4 SV=1	ref|XP_015759554.1|	0	PREDICTED: ATP-dependent DNA helicase RecQ-like [Acropora digitifera]	GO:0009986; GO:0005794; GO:0005887; GO:0005886; GO:0045202; GO:0044736; GO:0015280; GO:0008306; GO:0070588; GO:0071467; GO:0034220; GO:0007613; GO:0046929; GO:0070207; GO:0042391; GO:0010447; GO:0009268; GO:0050915; GO:0007165; GO:0035725; GO:0006814; GO:0006810	GO:0016021; GO:0005272
evm.model.Ap8.1085	sp|Q708S4|ASI4A_DANRE	1e-83	Acid-sensing ion channel 4 OS=Danio rerio GN=asic4 PE=2 SV=1	tr|A0A2B4SIQ9|A0A2B4SIQ9_STYPI	2.86e-145	Acid-sensing ion channel 4 OS=Stylophora pistillata GN=asic4 PE=4 SV=1	ref|XP_020604700.1|	0	acid-sensing ion channel 4-like [Orbicella faveolata]	GO:0045177; GO:0005887; GO:0005261; GO:0015280; GO:0005248	GO:0016021; GO:0005272
evm.model.Ap8.1086	NA	NA	NA	tr|A7SQT4|A7SQT4_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g215961 PE=4 SV=1	gb|KXJ10871.1|	0	hypothetical protein AC249_AIPGENE9555 [Exaiptasia pallida]	NA	
evm.model.Ap8.1087	NA	NA	NA	tr|A0A2B4SIU6|A0A2B4SIU6_STYPI	4.62e-151	Dual serine/threonine and tyrosine protein kinase OS=Stylophora pistillata GN=dstyk PE=4 SV=1	ref|XP_020604756.1|	0	uncharacterized protein LOC110043619 [Orbicella faveolata]	NA	GO:0005524; GO:0003924; GO:0004672
evm.model.Ap8.1080	sp|Q708S4|ASI4A_DANRE	4.25e-74	Acid-sensing ion channel 4 OS=Danio rerio GN=asic4 PE=2 SV=1	tr|A0A2B4SIQ9|A0A2B4SIQ9_STYPI	2.46e-125	Acid-sensing ion channel 4 OS=Stylophora pistillata GN=asic4 PE=4 SV=1	ref|XP_020604700.1|	1.08e-177	acid-sensing ion channel 4-like [Orbicella faveolata]	GO:0045177; GO:0005887; GO:0005261; GO:0015280; GO:0005248	GO:0016021; GO:0005272
evm.model.Ap8.1081	sp|Q9D306|MGT4C_MOUSE	1.04e-66	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C OS=Mus musculus GN=Mgat4c PE=2 SV=1	tr|A0A2B4SS78|A0A2B4SS78_STYPI	1.45e-127	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C OS=Stylophora pistillata GN=MGAT4C PE=4 SV=1	ref|XP_022785092.1|	0	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like [Stylophora pistillata]	GO:0000139; GO:0016021; GO:0008454; GO:0046872; GO:0005975; GO:0006486	GO:0036128; GO:0016758; GO:0005975
evm.model.Ap8.1082	sp|P78348|ASIC1_HUMAN	2.47e-67	Acid-sensing ion channel 1 OS=Homo sapiens GN=ASIC1 PE=1 SV=3	tr|A0A2B4SIQ9|A0A2B4SIQ9_STYPI	1.06e-132	Acid-sensing ion channel 4 OS=Stylophora pistillata GN=asic4 PE=4 SV=1	ref|XP_022785082.1|	2.28e-159	acid-sensing ion channel 2-like [Stylophora pistillata]	GO:0009986; GO:0005794; GO:0005887; GO:0005886; GO:0045202; GO:0044736; GO:0015280; GO:0008306; GO:0070588; GO:0071467; GO:0034220; GO:0007613; GO:0046929; GO:0070207; GO:0042391; GO:0010447; GO:0009268; GO:0050915; GO:0007165; GO:0035725; GO:0006814; GO:0006810	GO:0016021; GO:0005272
evm.model.Ap8.1083	NA	NA	NA	tr|A0A2B4S7W4|A0A2B4S7W4_STYPI	8.14e-139	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene10853 PE=4 SV=1	ref|XP_015766515.1|	0	PREDICTED: uncharacterized protein LOC107345324 [Acropora digitifera]	NA	GO:0005634; GO:0008270
evm.model.Ap8.2244_evm.model.Ap8.2245	sp|Q7TN22|TXD16_MOUSE	3.79e-49	Thioredoxin domain-containing protein 16 OS=Mus musculus GN=Txndc16 PE=2 SV=1	tr|A0A2B4RG71|A0A2B4RG71_STYPI	0	Elongation factor G, mitochondrial OS=Stylophora pistillata GN=AWC38_SpisGene19104 PE=4 SV=1	ref|XP_022804755.1|	0	uncharacterized protein LOC111341974 [Stylophora pistillata]	GO:0005788; GO:0005576; GO:0045454	GO:0003746
evm.model.Ap8.2244_evm.model.Ap8.2245.1.5f168de8	sp|Q7TN22|TXD16_MOUSE	5.04e-50	Thioredoxin domain-containing protein 16 OS=Mus musculus GN=Txndc16 PE=2 SV=1	tr|A0A2B4RG71|A0A2B4RG71_STYPI	1.55e-130	Elongation factor G, mitochondrial OS=Stylophora pistillata GN=AWC38_SpisGene19104 PE=4 SV=1	ref|XP_022804755.1|	0	uncharacterized protein LOC111341974 [Stylophora pistillata]	GO:0005788; GO:0005576; GO:0045454	GO:0003746
evm.model.Ap8.1173	NA	NA	NA	tr|A0A2B4SG57|A0A2B4SG57_STYPI	2.98e-26	TNF receptor-associated factor 4 OS=Stylophora pistillata GN=TRAF4 PE=4 SV=1	ref|XP_020895056.1|	1.22e-88	uncharacterized protein LOC110234051 [Exaiptasia pallida]	NA	GO:0008270
evm.model.Ap8.1177	NA	NA	NA	tr|A0A2B4SPC1|A0A2B4SPC1_STYPI	1.55e-67	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene2649 PE=4 SV=1	ref|XP_020625762.1|	2.06e-76	uncharacterized protein LOC110063150 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap8.1949	sp|Q96AY4|TTC28_HUMAN	3.19e-143	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4	tr|A0A2B4RAS7|A0A2B4RAS7_STYPI	0	Tetratricopeptide repeat protein 28 OS=Stylophora pistillata GN=TTC28 PE=4 SV=1	ref|XP_020621598.1|	0	tetratricopeptide repeat protein 28-like isoform X2 [Orbicella faveolata]	GO:0005737; GO:0005815; GO:0030496; GO:0000922; GO:0019900; GO:0007049; GO:0051301; GO:0007346	
evm.model.Ap8.1948	sp|P08548|LIN1_NYCCO	4.16e-37	LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=3 SV=1	tr|A0A2B4SW01|A0A2B4SW01_STYPI	2.33e-88	LINE-1 reverse transcriptase-like OS=Stylophora pistillata GN=AWC38_SpisGene2416 PE=4 SV=1	gb|PFX32738.1|	3.61e-88	LINE-1 reverse transcriptase-like [Stylophora pistillata]	GO:0046872; GO:0003964	GO:0003964
evm.model.Ap8.2366	sp|O75382|TRIM3_HUMAN	3.96e-08	Tripartite motif-containing protein 3 OS=Homo sapiens GN=TRIM3 PE=1 SV=2	tr|A0A2B4S3V6|A0A2B4S3V6_STYPI	0	Tripartite motif-containing protein 3 OS=Stylophora pistillata GN=Trim3 PE=4 SV=1	ref|XP_020601027.1|	0	uncharacterized protein LOC110040173 [Orbicella faveolata]	GO:0005737; GO:0030425; GO:0005769; GO:0005794; GO:0008022; GO:0061630; GO:0008270; GO:0007399; GO:0015031	
evm.model.Ap8.2360	sp|Q8TE73|DYH5_HUMAN	0	Dynein heavy chain 5, axonemal OS=Homo sapiens GN=DNAH5 PE=1 SV=3	tr|A0A2B4SC17|A0A2B4SC17_STYPI	0	Dynein heavy chain 8, axonemal OS=Stylophora pistillata GN=Dnah8 PE=4 SV=1	ref|XP_022788912.1|	0	dynein heavy chain 8, axonemal-like [Stylophora pistillata]	GO:0005930; GO:0005874; GO:0036157; GO:0005524; GO:0008569; GO:0045505; GO:0045503; GO:0051959; GO:0060271; GO:0003341; GO:0007368; GO:0030317; GO:0036158	GO:0030286; GO:0005524; GO:0016887; GO:0003777; GO:0007018
evm.model.Ap8.2361	sp|Q89703|POL_CSVMV	1.08e-06	Putative enzymatic polyprotein OS=Cassava vein mosaic virus GN=ORF 3 PE=3 SV=1	tr|A0A2B4RG12|A0A2B4RG12_STYPI	2.83e-148	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene20591 PE=4 SV=1	ref|XP_015748006.1|	3.83e-160	PREDICTED: uncharacterized protein LOC107327772 [Acropora digitifera]	GO:0004190; GO:0003677; GO:0003887; GO:0046872; GO:0003723; GO:0003964; GO:0004523; GO:0006310	GO:0003677; GO:0015074; GO:0006310
evm.model.Ap8.2362	NA	NA	NA	tr|A0A2B4RTU6|A0A2B4RTU6_STYPI	8.13e-111	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene15932 PE=4 SV=1	gb|PFX19652.1|	1.26e-110	hypothetical protein AWC38_SpisGene15932 [Stylophora pistillata]	NA	GO:0003676; GO:0008270
evm.model.Ap8.2363	sp|Q8CE46|PUS7L_MOUSE	5.58e-21	Pseudouridylate synthase 7 homolog-like protein OS=Mus musculus GN=Pus7l PE=1 SV=1	tr|A0A2B4SDM6|A0A2B4SDM6_STYPI	3.06e-80	Pseudouridylate synthase 7-like protein OS=Stylophora pistillata GN=PUS7L PE=4 SV=1	gb|PFX26657.1|	4.75e-80	Pseudouridylate synthase 7-like protein [Stylophora pistillata]	GO:0009982; GO:0003723; GO:0001522; GO:0008033	GO:0009982; GO:0003723; GO:0001522
evm.model.Ap8.1941	sp|Q80XJ3|TTC28_MOUSE	0	Tetratricopeptide repeat protein 28 OS=Mus musculus GN=Ttc28 PE=1 SV=3	tr|A0A2B4RH71|A0A2B4RH71_STYPI	0	Tetratricopeptide repeat protein 28 OS=Stylophora pistillata GN=TTC28 PE=4 SV=1	ref|XP_020616666.1|	0	tetratricopeptide repeat protein 28-like [Orbicella faveolata]	GO:0005813; GO:0005737; GO:0030496; GO:0072686; GO:1990023; GO:0097431; GO:0019900; GO:0007049; GO:0051301; GO:0007346	
evm.model.Ap8.1940	NA	NA	NA	NA	NA	NA	ref|XP_020607263.1|	1e-17	titin homolog [Orbicella faveolata]	NA	NA
evm.model.Ap8.1943	NA	NA	NA	tr|A0A2B4RXV1|A0A2B4RXV1_STYPI	2.89e-86	THAP domain-containing protein 2 OS=Stylophora pistillata GN=THAP2 PE=4 SV=1	ref|XP_015752492.1|	3.37e-111	PREDICTED: uncharacterized protein LOC107332277 [Acropora digitifera]	NA	GO:0003677
evm.model.Ap8.1942	sp|Q99572|P2RX7_HUMAN	5.15e-06	P2X purinoceptor 7 OS=Homo sapiens GN=P2RX7 PE=1 SV=4	tr|A0A1S3IVF6|A0A1S3IVF6_LINUN	3e-47	p2X purinoceptor 7-like OS=Lingula unguis GN=LOC106167330 PE=4 SV=1	ref|XP_015774264.1|	1.32e-85	PREDICTED: uncharacterized protein LOC107352443 [Acropora digitifera]	GO:0032059; GO:0005911; GO:0005737; GO:0009897; GO:0005639; GO:0005887; GO:0016020; GO:0031594; GO:0043025; GO:0005886; GO:0098794; GO:0098793; GO:0005524; GO:0004931; GO:0001530; GO:0042803; GO:0001614; GO:0005102; GO:0000187; GO:0097190; GO:0032060; GO:0007596; GO:0000902; GO:0007166; GO:0071359; GO:0031668; GO:0046513; GO:0032963; GO:0019835; GO:0050830; GO:0097191; GO:0048873; GO:0006954; GO:0051899; GO:0006509; GO:0007005; GO:0044254; GO:0043132; GO:0045779; GO:0045794; GO:0043409; GO:0001845; GO:0017121; GO:0006649; GO:0045332; GO:0046931; GO:1904172; GO:0030501; GO:0010524; GO:0045919; GO:0051495; GO:0014054; GO:0010628; GO:0014049; GO:0045821; GO:0050717; GO:0050718; GO:0032755; GO:0034767; GO:0070230; GO:0051901; GO:0032308; GO:0001916; GO:0051259; GO:0006468; GO:0016485; GO:0035590; GO:0072593; GO:0051709; GO:0002028; GO:0051209; GO:0033198; GO:0051592; GO:0051602; GO:0034405; GO:0032496; GO:0009612; GO:0010043; GO:0019233; GO:0048705; GO:0016079; GO:0043029; GO:0042098; GO:0006900	
evm.model.Ap8.1945	sp|Q8R3H9|TTC4_MOUSE	1.31e-12	Tetratricopeptide repeat protein 4 OS=Mus musculus GN=Ttc4 PE=1 SV=1	tr|A0A2B4R7V8|A0A2B4R7V8_STYPI	2.96e-91	Flap endonuclease 1-A OS=Stylophora pistillata GN=FEN1-A PE=4 SV=1	ref|XP_015760432.1|	1.29e-123	PREDICTED: uncharacterized protein LOC107339630 [Acropora digitifera]		GO:0004519
evm.model.Ap8.1944	NA	NA	NA	tr|A0A2B4RXV1|A0A2B4RXV1_STYPI	3.27e-07	THAP domain-containing protein 2 OS=Stylophora pistillata GN=THAP2 PE=4 SV=1	gb|KXJ20628.1|	1.97e-07	uncharacterized protein LOC110237754 [Exaiptasia pallida]	NA	GO:0003677
evm.model.Ap8.1947	sp|P14381|YTX2_XENLA	1.07e-19	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1	tr|A0A2B4SW01|A0A2B4SW01_STYPI	4.63e-42	LINE-1 reverse transcriptase-like OS=Stylophora pistillata GN=AWC38_SpisGene2416 PE=4 SV=1	gb|KXJ10260.1|	1.08e-68	Transposon TX1 uncharacterized 149 kDa protein, partial [Exaiptasia pallida]		GO:0003964
evm.model.Ap8.1946	NA	NA	NA	NA	NA	NA	ref|XP_020607263.1|	2.34e-12	titin homolog [Orbicella faveolata]	NA	NA
evm.model.Ap8.138	sp|Q8MHZ9|CL46_BOVIN	1.75e-07	Collectin-46 OS=Bos taurus GN=CL46 PE=2 SV=1	tr|A0A2B4SXX5|A0A2B4SXX5_STYPI	9.26e-113	Complement C1q and tumor necrosis factor-related protein 9B OS=Stylophora pistillata GN=C1QTNF9B PE=4 SV=1	ref|XP_020603226.1|	3.79e-134	uncharacterized protein LOC110042218 [Orbicella faveolata]	GO:0005581; GO:0005576; GO:0005537	GO:0005615; GO:0016021; GO:0005125; GO:0005164; GO:0006955
evm.model.Ap8.139	sp|Q0II24|C1QT9_BOVIN	3.51e-14	Complement C1q and tumor necrosis factor-related protein 9 OS=Bos taurus GN=C1QTNF9 PE=2 SV=1	tr|A0A2B4SXB3|A0A2B4SXB3_STYPI	1.85e-102	Complement C1q and tumor necrosis factor-related protein 9 OS=Stylophora pistillata GN=C1QTNF9 PE=4 SV=1	ref|XP_020603226.1|	3.48e-142	uncharacterized protein LOC110042218 [Orbicella faveolata]	GO:0005581; GO:0005576	GO:0016021; GO:0005164; GO:0006955
evm.model.Ap8.132	NA	NA	NA	tr|A0A2B4SZU8|A0A2B4SZU8_STYPI	1.03e-53	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene1168 PE=4 SV=1	gb|PFX33957.1|	1.59e-53	protein FAM122A-like [Stylophora pistillata]	NA	
evm.model.Ap8.133	sp|Q6NUB2|CW15A_XENLA	5.36e-93	Protein CWC15 homolog A OS=Xenopus laevis GN=cwc15-a PE=2 SV=1	tr|A0A2B4SYK4|A0A2B4SYK4_STYPI	9.91e-118	Protein CWC15-like A OS=Stylophora pistillata GN=cwc15-a PE=4 SV=1	ref|XP_020603259.1|	3.71e-153	spliceosome-associated protein CWC15 homolog [Orbicella faveolata]	GO:0005634; GO:0005681; GO:0003723; GO:0000398	GO:0005681; GO:0000398
evm.model.Ap8.130	sp|Q9ERU9|RBP2_MOUSE	6.42e-96	E3 SUMO-protein ligase RanBP2 OS=Mus musculus GN=Ranbp2 PE=1 SV=2	tr|A0A2B4SZI8|A0A2B4SZI8_STYPI	0	E3 SUMO-protein ligase RanBP2 OS=Stylophora pistillata GN=Ranbp2 PE=4 SV=1	ref|XP_020603204.1|	0	RANBP2-like and GRIP domain-containing protein 2 isoform X1 [Orbicella faveolata]	GO:0005642; GO:0005813; GO:1990723; GO:0005739; GO:0005635; GO:0042405; GO:0031965; GO:0005643; GO:0044614; GO:0044615; GO:0005634; GO:0016874; GO:0046872; GO:0003755; GO:0032403; GO:0008536; GO:0003723; GO:0019789; GO:0051642; GO:0000082; GO:0046907; GO:0051028; GO:0006607; GO:0033133; GO:0043547; GO:0046604; GO:0006457; GO:0006606; GO:0016925; GO:0090526; GO:0001975; GO:0006405; GO:0007051; GO:0006511	GO:0005622; GO:0016874; GO:0046872; GO:0046907
evm.model.Ap8.136	sp|Q9UBF6|RBX2_HUMAN	5.72e-55	RING-box protein 2 OS=Homo sapiens GN=RNF7 PE=1 SV=1	tr|A0A2B4SVQ9|A0A2B4SVQ9_STYPI	5.56e-73	RING-box protein 2 OS=Stylophora pistillata GN=Rnf7 PE=4 SV=1	ref|XP_020603303.1|	6.58e-75	RING-box protein 2-like [Orbicella faveolata]	GO:0031462; GO:0031463; GO:0080008; GO:0031466; GO:0031467; GO:0005737; GO:0005829; GO:0043224; GO:0005654; GO:0005634; GO:0005507; GO:0097602; GO:0019788; GO:0061630; GO:0008270; GO:0043687; GO:0045116; GO:0042787; GO:0051775; GO:0031146	GO:0008270
evm.model.Ap8.137	sp|Q3ZBG9|PLS2_BOVIN	1.58e-128	Phospholipid scramblase 2 OS=Bos taurus GN=PLSCR2 PE=2 SV=1	tr|A0A2B4STF9|A0A2B4STF9_STYPI	8.86e-176	Phospholipid scramblase 2 OS=Stylophora pistillata GN=PLSCR2 PE=4 SV=1	gb|PFX33964.1|	1.37e-175	phospholipid scramblase 2-like [Stylophora pistillata]	GO:0016021; GO:0005886; GO:0046872; GO:0017128	
evm.model.Ap8.134	sp|Q9Y343|SNX24_HUMAN	3.02e-15	Sorting nexin-24 OS=Homo sapiens GN=SNX24 PE=1 SV=1	tr|A0A2B4SXP8|A0A2B4SXP8_STYPI	1.05e-92	Sorting nexin-24 OS=Stylophora pistillata GN=SNX24 PE=4 SV=1	gb|PFX33959.1|	1.63e-92	sorting nexin-24-like [Stylophora pistillata]	GO:0030659; GO:0032266; GO:0070273; GO:0010314; GO:0015031	GO:0035091
evm.model.Ap8.135	sp|Q96GG9|DCNL1_HUMAN	3.88e-134	DCN1-like protein 1 OS=Homo sapiens GN=DCUN1D1 PE=1 SV=1	tr|A0A2B4SZG1|A0A2B4SZG1_STYPI	3.32e-179	DCN1-like protein 1 OS=Stylophora pistillata GN=DCUN1D1 PE=4 SV=1	ref|XP_020603258.1|	2.91e-180	DCN1-like protein 1 [Orbicella faveolata]	GO:0005829; GO:0005634; GO:0000151; GO:0097602; GO:0031624; GO:0032182; GO:0051443; GO:0043687; GO:0045116	
evm.model.Ap8.230	sp|Q5XG48|MED4_XENLA	2.76e-50	Mediator of RNA polymerase II transcription subunit 4 OS=Xenopus laevis GN=med4 PE=2 SV=1	tr|A0A2B4STF4|A0A2B4STF4_STYPI	3.48e-164	Mediator of RNA polymerase II transcription subunit 4 OS=Stylophora pistillata GN=med4 PE=4 SV=1	ref|XP_020614593.1|	1.46e-171	mediator of RNA polymerase II transcription subunit 4-like [Orbicella faveolata]	GO:0016592; GO:0001104; GO:0006351	GO:0016592; GO:0001104; GO:0006351
